Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
2.69,9.21,16.67,2.19,-9.57,-1.92,19.23406093
0.6,10.27,17.52,-4.68,17.03,0.53,20.31706918
1.44,10.29,17.34,7.5,6.5,-3.7,20.21468031
0.68,9.45,17.05,7.27,-2.56,2.13,19.50557356
-1.15,7.7,18.04,-44.58,-49.59,89.49,19.64825946
19.61,1.67,18.03,76.97,201.73,105,26.69123264
5.32,5.99,12.56,-14.6,-34.71,0.38,14.89751993
10.07,1.7,17.17,-12.24,-19.94,11.08,19.97758244
