Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
1.31,9.68,17.05,-5.85,9.77,-3.08,19.64996183
1.37,9.7,17.04,1.47,2.31,-0.06,19.65524103
1.15,9.76,17.05,-1.54,2.67,1.84,19.67949694
0.46,9.45,17.44,1.85,0.76,6.01,19.84106096
-0.57,4.08,16.13,34.93,-104.04,113.83,16.64776862
19.61,-17,7.5,110.34,-4.53,250.13,27.01484962
0.13,4.12,17.88,-13.32,39.4,-23.16,18.34899725
10.49,-1.47,14.76,-6.69,-25.28,-10.07,18.16751496
9.28,-0.16,16.83,14.52,12,-1.99,19.21959677
