Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
2.42,9.66,18.2,-5.32,-6.37,1.82,20.74637318
1.29,9.62,18.39,2,1.55,5.73,20.7942444
1.32,8.96,17.45,1.36,-2.82,-1.35,19.66027721
0.65,9.37,17.87,-2.25,-15.54,5.04,20.18802368
-0.1,6.45,17.59,22.04,0.2,59.88,18.73554376
19.61,-1.88,19.61,71.13,-100.34,200.21,27.79637746
8.34,4.78,12.45,-25.11,-108.66,-44.5,15.72916082
10.87,1.94,13.73,-12.56,40.58,12.11,17.6191203
