Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
1.46,9.35,14.8,-12.72,-5.92,5.28,17.56684662
0.72,9.66,15.87,-0.12,4.47,0.53,18.59276472
0.45,9.14,15.83,3.28,2.09,6.31,18.2847204
2.17,8.45,14.25,21.92,62.5,11.34,16.70849784
14.03,-12.35,-9.55,-126.49,66.71,54.08,20.98966174
12.98,2.15,12.21,-41.2,31.05,-38.22,17.94956824
6.12,2.48,15.44,-4.79,2.74,16.46,16.79280798
