Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
1.2,11.16,19.61,29.9,-16.37,-12.77,22.59508132
3.71,8.5,19.61,-9.82,-6.28,40.78,21.69253789
1.55,9.67,18.96,-3.79,-24.94,22.02,21.33993908
3.73,6.66,18.78,36.52,53.47,61.49,20.27207192
9.51,-19.61,-3.29,-93,220.92,93.27,22.04124089
12.76,2.32,15.21,27.77,-79.09,9.68,19.98859925
10.47,-0.65,15.11,-17.49,3.58,13.06,18.3944421
10.19,-0.78,15.09,3.11,-21.64,3.36,18.22505418
