Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
1.36,9.85,18.55,2.33,-1.11,-0.68,21.04696178
1.38,9.54,18.56,-0.38,0.41,0.14,20.91386143
0.95,9.67,18.43,-2.89,-26.18,16.57,20.83449783
2.32,5.01,18.95,4.47,-10.23,50.37,19.73790769
7.53,6.2,19.61,-30.28,108.3,248.11,21.9018949
6.38,3.05,19.61,-45.77,-15.16,-18.44,20.84607877
10.02,1.17,15.45,-10.59,-10.63,0.54,18.45187795
