Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
0.46,9.93,16.48,-2.04,12.76,-1.12,19.24595802
1.03,9.41,14.22,-3.34,-5.79,-3.65,17.08266373
0.42,9.34,14.71,5.55,9.65,0.31,17.42974756
3.91,7.96,14.3,31.58,60.84,19.41,16.82675548
19.61,19.61,-15.66,250.13,250.13,239.81,31.8487017
8.27,-1.47,12.13,-48.43,-20.07,-61.6,14.75434512
8.11,0.59,9.99,9.5,7.11,-27.66,12.8810054
